1364	Paris
1363	parce
1362	d’autres
1358	cadre
1354	Turquie
1351	rebelles
1346	continent
1345	juin
1328	législatives
1325	retour
1323	diplomatie
1321	décidé
1319	matin
1317	Affaires
1317	santé
1313	rôle
1309	Kosovo
1308	juillet
1307	tant
1306	débat
1305	concernant
1298	important
1286	base
1286	Côte
1283	vient
1280	Jean
1279	procès
1278	septembre
1276	aurait
1275	économiques
1275	interview
1274	derniers
1272	Orient
1269	prochain
1268	souligne
1267	mai
1263	journée
1256	deuxième
1255	l'ONU
1254	souvent
1253	peuvent
1247	an
1247	die
1245	représentants
1242	déclaration
1242	majorité
1240	l’OTAN
1239	ministres
1234	parties
1232	pétrole
1231	soutien
1229	décembre
1227	gens
1226	personne
1224	ici
1223	dollars
1222	raison
1221	possible
1214	l'Etat
1213	l'est
1211	al
1211	mars
1211	Rundschau
1211	terrorisme
1209	mondial
1208	partis
1204	l'image
1203	voir
1199	s’agit
1196	passé
1193	l
1191	note
1185	centrale
1185	dernières
1183	avril
1180	Syrie
1179	constitution
1179	enfin
1178	énergétique
1178	milliers
1177	ailleurs
1177	démocratie
1175	Lavrov
1166	internationales
1165	chez
1163	étrangers
1161	dessus
1157	contrôle
1154	participation
1150	besoin
1150	partenaires
1149	l’économie
1147	semaines
1147	service
1146	l’opposition
1146	vote
1145	l’Etat
1144	difficile
1142	formation
1140	janvier
1137	micro
1134	écouter
1131	anti
1129	groupes
1128	habitants
1127	Tageszeitung
1121	menace
1119	explique
1119	l'organisation
1118	Cour
1114	loin
1106	experts
1105	commission
1102	règlement
1101	l'ancien
1100	août
1095	troupes
1094	bonne
1094	signé
1093	d'autres
1088	l'Europe
1088	peuple
1088	plutôt
1087	pourparlers
1086	régions
1085	grâce
1084	risque
1084	semble
1081	observateur
1080	bilan
1079	africain
1079	journalistes
1074	aucun
1071	doute
1070	vont
1069	Guinée
1066	dix
1066	mieux
1066	nom
1064	plupart
1062	trouve
1061	matière
1060	présent
1059	d
1058	fonds
1058	présence
1057	efforts
1054	Tchad
1053	armes
1048	bon
1046	Irak
1046	longtemps
1045	propos
1042	jeune
1040	autour
1040	financière
1039	solution
1039	Soudan
1038	d’Etat
1038	liberté
1038	présidence
1038	services
1037	actuellement
1037	n’ont
1035	mal
1034	Proche
1033	sommes
1032	violence
1032	vu
1031	candidats
1031	rappelle
1030	l’Afrique
1029	dès
1028	crimes
1021	Auteur
1021	événements
1021	pu
1019	dirigeants
1019	revient
1018	leaders
1018	quant
1018	zone
1017	affaires
1016	soir
1013	Or
1008	radio
1006	résolution
1005	responsables
1004	l’année
1002	Israël
1002	succès
999	Rwanda
998	grandes
997	citoyens
993	Afghanistan
992	terme
991	députés
991	russo
988	donné
982	Libye
981	Alexandre
978	réponse
975	médias
972	candidat
972	feu
971	sanctions
969	heures
969	novembre
967	partir
967	trouver
966	Pologne
961	conséquences
958	leader
957	corruption
953	social
951	manifestations
948	intérêts
948	troisième
948	vis
946	Niger
944	Corée
940	laquelle
938	l’homme
935	d'Etat
935	transition
934	Barack
933	lorsque
932	chose
931	l'un
928	puis
927	rendre
925	quel
924	représentant
923	octobre
921	concerne
921	moyens
921	principal
920	haut
920	quelque
918	tel
917	internationaux
917	nucléaires
916	partenariat
916	secteur
915	appelé
915	famille
914	l’Iran
913	frontières
912	membre
910	parler
907	indiqué
907	qu’elle
907	qu’ils
907	seul
905	publique
904	changement
902	travers
900	continue
898	Bush
898	construction
895	Sénégal
895	veulent
893	souligné
892	RUSSIE
891	samedi
889	terroristes
888	frontière
885	d'être
884	création
883	compagnie
882	certes
882	femme
882	n'ont
877	tard
876	parle
875	congolais
874	s'agit
874	SPD
873	explications
873	propose
872	vraiment
868	certaines
868	Traité
867	nouvel
865	départ
865	public
864	homme
864	recherche
861	d'Ivoire
861	mer
859	seule
857	document
857	ensuite
857	février
854	camp
847	entreprises
846	façon
845	manque
845	principaux
843	l’organisation
842	mesure
841	festival
840	passe
840	prison
839	autant
839	Deutsche
838	votre
837	l’est
832	afin
830	série
829	quoi
828	nombreuses
828	telle
825	lancé
822	ça
822	cliquant
822	libération
821	droite
819	commencé
817	Pierre
816	bas
816	poste
815	pression
815	rendu
814	manière
812	organisations
812	sûr
811	prise
808	pense
807	long
806	l’un
806	protection
805	démocrate
805	jusqu'à
804	n’y
804	Nigeria
804	Sergueï
803	française
801	ouvert
800	l'élection
798	état
798	sociaux
797	but
797	responsable
795	qu'ils
794	train
794	tribunal
791	aide
791	croissance
790	date
784	domaine
780	activités
780	langue
779	choses
779	production
777	jusqu’à
776	voie
775	arabe
774	stabilité
773	montre
773	outre
773	raisons
772	Cameroun
771	ancien
771	suivre
768	qu'elle
766	édition
766	Etat
764	réforme
762	aucune
761	islamique
761	villes
760	Burkina
760	discussions
759	prochaine
758	compris
758	Londres
757	chambre
757	gros
757	l’histoire
756	M
756	sociale
755	l’Ukraine
754	finalement
753	auditeurs
753	donner
752	discours
748	période
746	passer
745	migrants
744	créer
742	présenté
739	appelle
739	l'ouest
738	Serguei
737	auprès
737	direction
737	envers
735	islamistes
734	climat
730	réaction
729	Marie
727	mille
727	musulmans
726	armées
726	électeurs
725	actions
724	nuit
723	Sarkozy
722	commerce
722	résultat
721	propre
720	Grèce
720	l’armée
717	points
716	peine
716	petit
715	donne
715	populations
714	partisans
713	thème
712	prévu
711	fond
711	toutefois
708	proposé
708	site
707	rouge
706	environ
705	réussi
704	chute
704	dû
703	attaques
703	Cliquez
700	avis
700	juste
700	observateurs
699	lien
699	traité
698	armés
698	contexte
698	sait
698	voit
697	assez
697	CDU
697	volonté
696	civils
696	professeur
695	l'ex
695	soient
694	manifestants
693	l’accord
693	taux
691	culture
691	occidentaux
691	prend
690	Cependant
690	particulier
690	statut
689	d’être
688	main
687	combats
686	Nicolas
686	participants
683	confiance
683	humanitaire
683	Kinshasa
682	d'euros
682	gauche
681	responsabilité
680	Munich
680	ressources
679	anniversaire
679	l’a
679	produits
678	tenu
677	centaines
676	finale
676	Japon
675	forum
675	Forum
675	particulièrement
671	ligne
671	sept
670	démocrates
669	veille
668	nécessaire
667	fête
667	fort
667	huit
667	premières
667	second
666	met
666	sens
665	terre
664	accords
664	compagnies
663	dossier
662	demandé
662	Somalie
661	conclut
660	l’on
658	l'état
657	l’indépendance
655	stratégie
654	Kenya
654	premiers
653	conflits
652	terrain
651	renforcer
651	seconde
650	n
649	père
646	européennes
646	football
646	l'accord
646	relève
645	générale
645	tenue
644	devenir
644	Ukraine
643	suis
642	large
641	film
641	Ibrahim
640	mêmes
640	référendum
639	allemandes
639	compromis
639	délégation
639	Saint
638	Joseph
638	l'on
637	Kadhafi
636	venir
635	États
634	demi
634	différents
634	participer
633	faveur
633	l'année
633	livraisons
632	Centrafrique
632	iranien
631	forme
631	génocide
631	principe
630	choix
630	mon
629	positions
629	qu’on
629	télévision
628	Laurent
628	vite
627	conseil
627	fédéral
625	réformes
625	terroriste
623	populaire
622	garde
621	marchés
621	presque
621	tageszeitung
620	Bretagne
620	lequel
620	pourraient
619	Victor
618	liste
617	Togo
616	G8
616	historique
615	britannique
615	officiellement
614	présente
613	Belgique
613	existe
613	siècle
613	spécial
612	chinois
611	américaines
611	blessés
609	Darfour
608	Gbagbo
608	n'y
607	chance
607	présidents
607	voyage
606	critique
605	peur
605	sortie
604	bureau
603	importante
603	photo
603	province
603	Téhéran
602	commentaire
601	1er
601	connu
600	journaliste
598	correspondante
595	l’ordre
