абстракционизъм;[изк.] Формалистично направление в изкуството през <b>XX</b> в., което не изобразява перцептивния свят, а използва материалите, линиите и цветовете сами за себе си.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абстракция;1. [само ед.ч.] Процес на мислено отделяне и обобщаване само на съществените признаци и свойства на предмети и явления от самите предмети и явления.;2. Отвлечено, обобщено понятие, което е резултат от мисловен процес.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абстрахирам;Не вземам предвид, не вземам под внимание.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абстрахирам се;Не вземам предвид, не вземам под внимание.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абсурд;Безсмислица, нелепост.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абсурден;Който не съответства, на общото разбиране.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абсцес;В медицината - натрупване на гной в органите и тъканите на човек или животно в резултат на възпалителен процес.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абсциса;В геометрията - хоризонтална координата, с която се определя положението на една точка в равнината.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абюрация;Публично отричане от убеждение или вяра.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авангард;1. Войскова част, която се движипред главните сили.;2. [прен.] Водеща обществена група.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авангардизъм;Общо название на направление в литературата и изкуството през 20 в., което се характеризира с търсенето и налагането на нови, нетрадиционни изразни средства.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аванс;1. Парична сума, която се дава или взема като предплата.;2. [прен.] Преднина в спортно или друго състезание.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авансирам;авансираш. Давам аванс или подпомгам с аванс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авансцена;Предната част от театрална сцена - от завесата до оркестъра или зрителите.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аванта;Облага добита без труд и без заслуги.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авантаж;Благоприятно положение което дава преднина, предимство.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авантюра;1. Приключение.;2. Рискована постъпка, при която се разчита на случаен успех и чиито последици са непредвидими.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авантюризъм;Склонност към авантюри.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авария;1. Сериозна повреда в машина, съоръжение, устройствао по време на работа или в движение.;2. [прен.] Несполука, неуспех.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аватар;[рел.] В индуизма - име на различните инкарнации на боговете, особено на Вишну.;[прен.] Метаморфоза, трансформация.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авгиев;[мит.] В гръцката митология - замърсените в продължение на 30 години обори на цар Авгий, които Херкулес изчистил за един ден при един от своите подвизи.;[прен.] Нещо крайно замърсено и замарено.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авгур;Древноримски жрец, птицегадател, предсказващ по полета и виковете на птиците (на латински <b>auspicium</b>), дали държавни начинания ще се одобрят от боговете.;В началото в Древен Рим е имало 3, после 9 авгури, след управлението на Сула - 15, а след Юлий Цезар - 16. Първоначалната им длъжност е била да молят боговете за добра реколта и благо на империята (на латински: <b>inaugurare</b>). Носели са като знак закривен жезъл (<b>lituus</b>). Въвеждането в длъжност на авгур се наричало <b>auguratio</b> или <b>inauguratio</b> (вж. инаугурация).;"[прен.] <i>""авгурска усмивка""</i> - човек, знаеш бъдъщето.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
август;Осмия месец на календарната година.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авджия;[остар.] Ловец.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авеню;Широка улица с дървета или сгради от двете страни; булевард.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авер;[разг.] Другар, приятел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авеста;Свещена книга на маздеизма, религия основана от Зороастър през <b>X</b> в пр. Хр. и разпространена в Персия, Иран и Индия.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авиатор;Пилот, летец.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авиация;1. Въздушните средства за придвижване; въздушен флот.;2. Въздухоплаване.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авизо;В банковото дело - писмено съобщение до адресанта за извършени търговски или банкови операции от негово име.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авио;Първа съставна част в съкратени сложни думи със значение авиационен.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авитаминоза;В медицината - заболяване причинено от недостатъчно количество витамини в храната.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авлига;Прелетна пойна птичка с жълти пера и черни крила и опашка.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
авоари;Налична парична сума по сметка на вложителя в банка или друго кредитно учреждение.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аврора;[мит.] В римската митология - богиня на зората (съотв. на гр. Еос);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
автентичен;Който е основан на първоизточници; същински, достоверен.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
